REGION,BRANCHNAME,ITEMID,PURITY,FINISH,SHAPE,THEME,BRAND,WORKSTYLE,STOCK_COUNT,SALE_COUNT
West,BR-Ahmedabad-01,PRD00294,14,HighPolish,Oval,Contemporary,Signature,Handcrafted,17,0
West,BR-Ahmedabad-01,PRD00284,18,HighPolish,Princess,Contemporary,Essentials,Filigree,19,2
West,BR-Ahmedabad-01,PRD00247,14,Textured,Mixed,Contemporary,Essentials,Handcrafted,4,1
West,BR-Ahmedabad-01,PRD00224,22,Matte,Mixed,Minimalist,Essentials,Cast,10,4
West,BR-Ahmedabad-01,PRD00088,22,Textured,Mixed,Contemporary,Essentials,Handcrafted,16,0
West,BR-Ahmedabad-01,PRD00039,22,Textured,Oval,Contemporary,Essentials,Filigree,2,1
West,BR-Ahmedabad-01,PRD00202,18,HighPolish,Round,Minimalist,Essentials,Cast,9,2
West,BR-Ahmedabad-01,PRD00146,14,TwoTone,Mixed,Floral,House,Cast,18,2
West,BR-Ahmedabad-01,PRD00184,14,TwoTone,Oval,Floral,Signature,Filigree,2,2
West,BR-Ahmedabad-01,PRD00080,22,TwoTone,Round,Minimalist,House,KundanInspired,11,0
West,BR-Ahmedabad-01,PRD00018,14,TwoTone,Princess,Geometric,Signature,Handcrafted,15,4
West,BR-Ahmedabad-01,PRD00197,14,HighPolish,Mixed,Traditional,House,Cast,15,2
West,BR-Ahmedabad-01,PRD00152,18,HighPolish,Oval,Floral,House,Cast,17,3
West,BR-Ahmedabad-01,PRD00117,18,Matte,Round,Geometric,House,KundanInspired,8,0
West,BR-Ahmedabad-01,PRD00131,14,Matte,Mixed,Contemporary,Signature,Cast,4,1
West,BR-Ahmedabad-01,PRD00011,14,HighPolish,Mixed,Geometric,Essentials,Filigree,2,2
West,BR-Ahmedabad-01,PRD00003,14,Matte,Princess,Contemporary,Signature,KundanInspired,16,1
West,BR-Ahmedabad-01,PRD00162,14,TwoTone,Princess,Minimalist,Essentials,KundanInspired,3,0
West,BR-Ahmedabad-01,PRD00178,22,Textured,Princess,Floral,Signature,Filigree,0,0
West,BR-Ahmedabad-01,PRD00226,18,TwoTone,Round,Geometric,Signature,Handcrafted,8,2
West,BR-Ahmedabad-01,PRD00106,22,Matte,Round,Contemporary,House,Filigree,19,2
West,BR-Ahmedabad-01,PRD00084,22,Textured,Princess,Geometric,House,KundanInspired,9,0
West,BR-Ahmedabad-01,PRD00094,14,Textured,Princess,Geometric,Signature,KundanInspired,18,2
West,BR-Ahmedabad-01,PRD00037,14,Matte,Princess,Floral,House,Cast,17,0
West,BR-Ahmedabad-01,PRD00073,22,Matte,Round,Contemporary,Essentials,Cast,13,0
West,BR-Ahmedabad-01,PRD00045,18,Matte,Mixed,Traditional,House,Cast,6,4
West,BR-Ahmedabad-01,PRD00223,22,TwoTone,Oval,Minimalist,Signature,Cast,14,0
West,BR-Ahmedabad-01,PRD00100,22,HighPolish,Mixed,Traditional,Essentials,Handcrafted,16,2
West,BR-Ahmedabad-01,PRD00066,18,HighPolish,Princess,Minimalist,House,Filigree,1,0
West,BR-Ahmedabad-01,PRD00262,18,HighPolish,Mixed,Geometric,House,Handcrafted,6,1
West,BR-Ahmedabad-01,PRD00158,14,HighPolish,Round,Contemporary,Signature,Cast,3,2
West,BR-Ahmedabad-01,PRD00177,22,HighPolish,Oval,Minimalist,Signature,Cast,17,2
West,BR-Ahmedabad-01,PRD00089,14,Matte,Mixed,Minimalist,Signature,KundanInspired,9,3
West,BR-Ahmedabad-01,PRD00248,14,TwoTone,Princess,Geometric,House,KundanInspired,1,0
West,BR-Ahmedabad-01,PRD00014,22,Textured,Round,Traditional,House,Filigree,10,4
West,BR-Ahmedabad-01,PRD00190,18,Textured,Mixed,Contemporary,Signature,Filigree,12,3
West,BR-Ahmedabad-01,PRD00025,14,Matte,Oval,Minimalist,House,Cast,19,4
West,BR-Ahmedabad-01,PRD00145,22,Matte,Princess,Geometric,Signature,KundanInspired,19,3
West,BR-Ahmedabad-01,PRD00276,18,TwoTone,Princess,Floral,Essentials,KundanInspired,1,0
West,BR-Ahmedabad-01,PRD00148,18,HighPolish,Oval,Traditional,House,KundanInspired,0,0
West,BR-Ahmedabad-01,PRD00245,22,TwoTone,Oval,Geometric,House,Filigree,15,4
West,BR-Ahmedabad-01,PRD00048,14,Matte,Princess,Traditional,Essentials,Handcrafted,18,4
West,BR-Ahmedabad-01,PRD00265,18,Matte,Round,Geometric,Signature,KundanInspired,13,3
West,BR-Ahmedabad-01,PRD00020,22,Matte,Round,Traditional,Essentials,Cast,6,3
West,BR-Ahmedabad-01,PRD00035,14,HighPolish,Princess,Contemporary,Essentials,Filigree,7,2
West,BR-Ahmedabad-01,PRD00091,18,TwoTone,Oval,Floral,Signature,Filigree,18,2
West,BR-Ahmedabad-01,PRD00114,22,HighPolish,Round,Traditional,House,Filigree,11,4
West,BR-Ahmedabad-01,PRD00239,22,Textured,Mixed,Contemporary,Signature,Handcrafted,7,3
West,BR-Ahmedabad-01,PRD00134,22,Matte,Mixed,Floral,Essentials,Handcrafted,2,0
West,BR-Ahmedabad-01,PRD00249,22,TwoTone,Princess,Floral,House,KundanInspired,11,0
West,BR-Ahmedabad-01,PRD00211,14,Matte,Oval,Geometric,House,Filigree,16,2
West,BR-Ahmedabad-01,PRD00205,22,TwoTone,Round,Minimalist,Essentials,Handcrafted,6,2
West,BR-Ahmedabad-01,PRD00108,22,TwoTone,Oval,Traditional,Signature,Filigree,19,0
West,BR-Ahmedabad-01,PRD00235,22,Textured,Mixed,Floral,House,KundanInspired,2,1
West,BR-Ahmedabad-01,PRD00130,22,Matte,Princess,Geometric,Essentials,Handcrafted,1,1
West,BR-Ahmedabad-01,PRD00038,22,Matte,Princess,Floral,Signature,Handcrafted,2,2
West,BR-Ahmedabad-01,PRD00118,14,Textured,Princess,Floral,Essentials,Cast,13,4
West,BR-Ahmedabad-01,PRD00257,22,Matte,Princess,Geometric,Signature,Filigree,12,4
West,BR-Ahmedabad-01,PRD00138,22,Matte,Round,Floral,Signature,Cast,1,1
West,BR-Ahmedabad-01,PRD00083,22,HighPolish,Princess,Minimalist,Essentials,Filigree,13,4
West,BR-Ahmedabad-01,PRD00203,18,TwoTone,Mixed,Minimalist,House,Filigree,2,2
West,BR-Ahmedabad-01,PRD00273,14,Matte,Mixed,Floral,Essentials,Filigree,17,2
West,BR-Ahmedabad-01,PRD00261,22,TwoTone,Round,Traditional,House,KundanInspired,5,0
West,BR-Ahmedabad-01,PRD00288,18,Textured,Princess,Geometric,Signature,Handcrafted,1,0
West,BR-Ahmedabad-01,PRD00128,14,HighPolish,Princess,Traditional,Essentials,Handcrafted,14,2
West,BR-Ahmedabad-01,PRD00263,18,TwoTone,Round,Geometric,House,Cast,19,2
West,BR-Ahmedabad-01,PRD00295,14,Textured,Round,Minimalist,Essentials,Handcrafted,11,2
West,BR-Ahmedabad-01,PRD00222,22,HighPolish,Mixed,Minimalist,Signature,Filigree,11,2
West,BR-Ahmedabad-01,PRD00174,18,TwoTone,Oval,Contemporary,House,Filigree,2,1
West,BR-Ahmedabad-01,PRD00140,14,Matte,Oval,Floral,Essentials,KundanInspired,2,2
West,BR-Ahmedabad-01,PRD00220,18,HighPolish,Mixed,Contemporary,House,Filigree,8,3
West,BR-Ahmedabad-01,PRD00218,14,Matte,Mixed,Traditional,Essentials,Cast,8,4
West,BR-Ahmedabad-01,PRD00113,14,HighPolish,Oval,Minimalist,Essentials,Filigree,0,0
West,BR-Ahmedabad-01,PRD00232,18,TwoTone,Mixed,Traditional,House,KundanInspired,1,1
West,BR-Ahmedabad-01,PRD00169,18,HighPolish,Princess,Traditional,House,KundanInspired,11,3
West,BR-Ahmedabad-01,PRD00042,18,TwoTone,Mixed,Geometric,Signature,KundanInspired,3,1
West,BR-Ahmedabad-01,PRD00016,18,Matte,Princess,Contemporary,Signature,KundanInspired,16,3
West,BR-Ahmedabad-01,PRD00258,14,Matte,Princess,Geometric,House,Cast,14,2
West,BR-Ahmedabad-01,PRD00283,14,Textured,Princess,Floral,Signature,Cast,7,2
West,BR-Ahmedabad-01,PRD00135,14,HighPolish,Mixed,Geometric,House,Filigree,16,0
West,BR-Ahmedabad-01,PRD00026,14,TwoTone,Round,Floral,House,Cast,14,1
West,BR-Ahmedabad-01,PRD00056,18,HighPolish,Mixed,Floral,Essentials,KundanInspired,14,4
West,BR-Ahmedabad-01,PRD00155,18,HighPolish,Mixed,Contemporary,Essentials,Cast,13,0
West,BR-Ahmedabad-01,PRD00092,18,HighPolish,Round,Traditional,Essentials,KundanInspired,8,3
West,BR-Ahmedabad-01,PRD00187,22,TwoTone,Oval,Floral,Signature,Filigree,15,1
West,BR-Ahmedabad-01,PRD00200,18,Textured,Mixed,Floral,House,Cast,15,2
West,BR-Ahmedabad-01,PRD00201,22,TwoTone,Princess,Contemporary,Signature,Cast,18,4
West,BR-Ahmedabad-01,PRD00060,18,HighPolish,Round,Geometric,Essentials,Filigree,13,0
West,BR-Ahmedabad-01,PRD00079,14,HighPolish,Oval,Minimalist,Signature,Filigree,16,3
West,BR-Ahmedabad-01,PRD00293,14,Matte,Round,Floral,House,Filigree,6,0
West,BR-Ahmedabad-01,PRD00189,14,HighPolish,Round,Minimalist,Signature,Handcrafted,3,1
West,BR-Ahmedabad-01,PRD00267,14,HighPolish,Princess,Contemporary,Signature,Cast,0,0
West,BR-Ahmedabad-01,PRD00234,18,HighPolish,Mixed,Traditional,Signature,KundanInspired,12,2
West,BR-Ahmedabad-01,PRD00185,18,TwoTone,Mixed,Contemporary,House,Cast,1,1
West,BR-Ahmedabad-01,PRD00242,18,TwoTone,Round,Traditional,Signature,Handcrafted,16,1
West,BR-Ahmedabad-01,PRD00244,22,HighPolish,Mixed,Floral,Signature,Handcrafted,10,2
West,BR-Ahmedabad-01,PRD00173,18,Matte,Mixed,Minimalist,Essentials,Filigree,6,2
West,BR-Ahmedabad-01,PRD00132,22,TwoTone,Mixed,Geometric,Essentials,Filigree,7,4
West,BR-Ahmedabad-01,PRD00269,14,HighPolish,Princess,Traditional,Signature,KundanInspired,6,1
West,BR-Ahmedabad-01,PRD00099,14,Textured,Mixed,Minimalist,Essentials,Handcrafted,8,2
West,BR-Ahmedabad-01,PRD00019,22,TwoTone,Mixed,Traditional,Signature,Cast,5,0
West,BR-Ahmedabad-01,PRD00225,18,Matte,Round,Traditional,Signature,KundanInspired,12,4
West,BR-Ahmedabad-01,PRD00176,22,TwoTone,Round,Minimalist,Signature,Filigree,14,1
West,BR-Ahmedabad-02,PRD00198,14,Matte,Princess,Traditional,House,Cast,6,0
West,BR-Ahmedabad-02,PRD00219,22,HighPolish,Princess,Contemporary,Essentials,Handcrafted,1,1
West,BR-Ahmedabad-02,PRD00210,18,Textured,Princess,Geometric,Essentials,Handcrafted,7,1
West,BR-Ahmedabad-02,PRD00227,14,Textured,Mixed,Geometric,House,Filigree,17,0
West,BR-Ahmedabad-02,PRD00106,18,TwoTone,Round,Minimalist,Signature,KundanInspired,6,2
West,BR-Ahmedabad-02,PRD00223,14,TwoTone,Princess,Contemporary,House,Cast,5,1
West,BR-Ahmedabad-02,PRD00207,14,TwoTone,Oval,Geometric,Signature,Handcrafted,13,1
West,BR-Ahmedabad-02,PRD00119,18,HighPolish,Round,Traditional,Essentials,Filigree,0,0
West,BR-Ahmedabad-02,PRD00059,14,Textured,Princess,Contemporary,Essentials,Filigree,12,0
West,BR-Ahmedabad-02,PRD00056,22,Textured,Princess,Floral,Signature,KundanInspired,18,0
West,BR-Ahmedabad-02,PRD00248,14,TwoTone,Princess,Minimalist,Signature,Cast,9,1
West,BR-Ahmedabad-02,PRD00247,14,Matte,Mixed,Traditional,House,Filigree,9,0
West,BR-Ahmedabad-02,PRD00200,22,Matte,Oval,Geometric,Essentials,Cast,17,3
West,BR-Ahmedabad-02,PRD00242,22,TwoTone,Round,Contemporary,Essentials,Handcrafted,11,2
West,BR-Ahmedabad-02,PRD00157,14,HighPolish,Mixed,Traditional,Essentials,KundanInspired,14,4
West,BR-Ahmedabad-02,PRD00052,18,HighPolish,Mixed,Geometric,Signature,Filigree,5,1
West,BR-Ahmedabad-02,PRD00284,22,HighPolish,Oval,Floral,Signature,Filigree,17,0
West,BR-Ahmedabad-02,PRD00235,22,TwoTone,Oval,Traditional,Signature,Handcrafted,13,3
West,BR-Ahmedabad-02,PRD00133,14,TwoTone,Princess,Floral,Signature,Filigree,2,2
West,BR-Ahmedabad-02,PRD00002,14,Textured,Round,Minimalist,Essentials,Cast,13,3
West,BR-Ahmedabad-02,PRD00159,22,Textured,Mixed,Contemporary,House,KundanInspired,5,0
West,BR-Ahmedabad-02,PRD00270,18,Matte,Princess,Contemporary,House,KundanInspired,7,0
West,BR-Ahmedabad-02,PRD00025,14,HighPolish,Mixed,Floral,House,KundanInspired,3,2
West,BR-Ahmedabad-02,PRD00122,18,TwoTone,Round,Contemporary,Essentials,Filigree,2,0
West,BR-Ahmedabad-02,PRD00186,14,Textured,Round,Contemporary,Signature,Handcrafted,1,1
West,BR-Ahmedabad-02,PRD00187,14,TwoTone,Mixed,Geometric,Signature,KundanInspired,12,3
West,BR-Ahmedabad-02,PRD00146,22,TwoTone,Oval,Traditional,Signature,Cast,10,3
West,BR-Ahmedabad-02,PRD00218,22,TwoTone,Round,Floral,Essentials,Cast,2,1
West,BR-Ahmedabad-02,PRD00191,18,HighPolish,Round,Floral,Signature,Cast,7,2
West,BR-Ahmedabad-02,PRD00100,14,TwoTone,Oval,Floral,House,Cast,13,1
West,BR-Ahmedabad-02,PRD00102,22,Textured,Round,Contemporary,Signature,Cast,5,0
West,BR-Ahmedabad-02,PRD00185,18,HighPolish,Round,Traditional,House,Cast,4,1
West,BR-Ahmedabad-02,PRD00203,18,TwoTone,Princess,Traditional,House,KundanInspired,12,1
West,BR-Ahmedabad-02,PRD00143,22,TwoTone,Oval,Floral,Signature,Cast,10,3
West,BR-Ahmedabad-02,PRD00271,22,Matte,Mixed,Floral,Essentials,Filigree,13,4
West,BR-Ahmedabad-02,PRD00252,18,Textured,Princess,Contemporary,Signature,Handcrafted,8,3
West,BR-Ahmedabad-02,PRD00255,22,Matte,Mixed,Geometric,House,Handcrafted,16,3
West,BR-Ahmedabad-02,PRD00182,18,TwoTone,Oval,Minimalist,Essentials,KundanInspired,6,3
West,BR-Ahmedabad-02,PRD00197,18,HighPolish,Princess,Floral,House,Handcrafted,11,4
West,BR-Ahmedabad-02,PRD00064,22,Textured,Oval,Floral,Essentials,KundanInspired,7,1
West,BR-Ahmedabad-02,PRD00251,18,Textured,Round,Traditional,Essentials,Filigree,0,0
West,BR-Ahmedabad-02,PRD00250,22,TwoTone,Round,Geometric,Essentials,Handcrafted,1,0
West,BR-Ahmedabad-02,PRD00001,14,HighPolish,Mixed,Floral,House,Handcrafted,4,4
West,BR-Ahmedabad-02,PRD00238,14,Textured,Oval,Floral,Signature,Filigree,5,0
West,BR-Ahmedabad-02,PRD00026,18,Matte,Princess,Geometric,Essentials,Filigree,13,3
West,BR-Ahmedabad-02,PRD00205,22,HighPolish,Round,Traditional,Signature,Filigree,5,1
West,BR-Ahmedabad-02,PRD00283,22,HighPolish,Round,Minimalist,Essentials,Handcrafted,19,3
West,BR-Ahmedabad-02,PRD00233,14,Textured,Mixed,Minimalist,Essentials,Cast,2,2
West,BR-Ahmedabad-02,PRD00141,18,HighPolish,Mixed,Minimalist,Essentials,Filigree,16,3
West,BR-Ahmedabad-02,PRD00030,14,Textured,Round,Geometric,House,KundanInspired,5,2
West,BR-Ahmedabad-02,PRD00273,14,Matte,Oval,Contemporary,House,Filigree,14,3
West,BR-Ahmedabad-02,PRD00080,22,Textured,Princess,Traditional,Signature,Handcrafted,15,0
West,BR-Ahmedabad-02,PRD00142,22,TwoTone,Princess,Geometric,Essentials,Filigree,2,0
West,BR-Ahmedabad-02,PRD00091,14,TwoTone,Oval,Floral,House,Filigree,16,3
West,BR-Ahmedabad-02,PRD00054,22,Textured,Round,Minimalist,Signature,KundanInspired,4,4
West,BR-Ahmedabad-02,PRD00180,18,TwoTone,Princess,Geometric,Essentials,Handcrafted,6,2
West,BR-Ahmedabad-02,PRD00165,22,Textured,Round,Floral,Signature,Handcrafted,3,0
West,BR-Ahmedabad-02,PRD00112,18,HighPolish,Mixed,Geometric,House,Cast,10,1
West,BR-Ahmedabad-02,PRD00276,14,HighPolish,Princess,Floral,Signature,Filigree,8,1
West,BR-Ahmedabad-02,PRD00147,22,Textured,Princess,Geometric,House,Cast,9,4
West,BR-Ahmedabad-02,PRD00290,14,Matte,Princess,Geometric,Essentials,Filigree,4,0
West,BR-Ahmedabad-02,PRD00230,14,Matte,Mixed,Floral,House,Cast,18,0
West,BR-Ahmedabad-02,PRD00113,18,TwoTone,Princess,Contemporary,Signature,Filigree,8,2
West,BR-Ahmedabad-02,PRD00214,22,HighPolish,Oval,Contemporary,Essentials,Cast,16,4
West,BR-Ahmedabad-02,PRD00253,18,TwoTone,Princess,Contemporary,House,Filigree,18,3
West,BR-Ahmedabad-02,PRD00267,18,Textured,Round,Traditional,Signature,Cast,15,3
West,BR-Ahmedabad-02,PRD00019,22,TwoTone,Oval,Geometric,House,Cast,4,1
West,BR-Ahmedabad-02,PRD00033,18,Matte,Oval,Geometric,Signature,Filigree,0,0
West,BR-Ahmedabad-02,PRD00086,22,Textured,Oval,Floral,Signature,KundanInspired,7,2
West,BR-Ahmedabad-02,PRD00296,14,Matte,Mixed,Geometric,House,KundanInspired,9,1
West,BR-Ahmedabad-02,PRD00163,14,TwoTone,Mixed,Minimalist,Essentials,Handcrafted,14,2
West,BR-Ahmedabad-02,PRD00239,18,HighPolish,Mixed,Floral,Essentials,KundanInspired,12,4
West,BR-Ahmedabad-02,PRD00096,18,Textured,Round,Minimalist,Essentials,Cast,19,4
West,BR-Ahmedabad-02,PRD00089,14,Matte,Oval,Minimalist,Signature,KundanInspired,14,3
West,BR-Ahmedabad-02,PRD00103,18,Matte,Mixed,Geometric,Signature,KundanInspired,3,1
West,BR-Ahmedabad-02,PRD00264,22,TwoTone,Princess,Traditional,House,KundanInspired,7,2
West,BR-Ahmedabad-02,PRD00125,14,HighPolish,Princess,Traditional,House,Handcrafted,14,4
West,BR-Ahmedabad-02,PRD00179,18,HighPolish,Oval,Floral,Signature,Filigree,13,2
West,BR-Ahmedabad-02,PRD00226,14,TwoTone,Mixed,Traditional,Essentials,Filigree,6,3
West,BR-Ahmedabad-02,PRD00101,22,Textured,Princess,Traditional,Signature,Cast,17,1
West,BR-Ahmedabad-02,PRD00285,22,TwoTone,Princess,Floral,Signature,Handcrafted,15,1
West,BR-Ahmedabad-02,PRD00292,14,HighPolish,Oval,Traditional,Signature,Cast,15,0
West,BR-Ahmedabad-02,PRD00222,22,TwoTone,Mixed,Traditional,Signature,Cast,14,1
West,BR-Ahmedabad-02,PRD00220,22,HighPolish,Oval,Traditional,Essentials,Handcrafted,11,3
West,BR-Ahmedabad-02,PRD00209,18,HighPolish,Oval,Traditional,House,Filigree,14,4
West,BR-Ahmedabad-02,PRD00138,22,Matte,Round,Traditional,House,Handcrafted,10,2
West,BR-Ahmedabad-02,PRD00291,22,Matte,Oval,Geometric,Signature,KundanInspired,3,3
West,BR-Ahmedabad-02,PRD00244,18,TwoTone,Round,Geometric,Signature,Filigree,14,2
West,BR-Ahmedabad-02,PRD00126,22,Matte,Oval,Contemporary,Signature,Cast,8,4
West,BR-Ahmedabad-02,PRD00049,22,Matte,Round,Geometric,Signature,Filigree,0,0
West,BR-Ahmedabad-02,PRD00098,18,TwoTone,Princess,Traditional,House,KundanInspired,9,3
West,BR-Ahmedabad-02,PRD00176,14,HighPolish,Mixed,Geometric,House,Handcrafted,5,1
West,BR-Ahmedabad-02,PRD00170,22,HighPolish,Round,Minimalist,Essentials,Handcrafted,4,3
West,BR-Ahmedabad-02,PRD00268,14,HighPolish,Oval,Traditional,Essentials,Cast,0,0
West,BR-Ahmedabad-02,PRD00196,22,Matte,Mixed,Floral,Essentials,Handcrafted,4,0
West,BR-Ahmedabad-02,PRD00181,14,Textured,Round,Floral,Essentials,Handcrafted,9,4
West,BR-Ahmedabad-02,PRD00132,22,Matte,Oval,Contemporary,House,Filigree,8,3
West,BR-Ahmedabad-02,PRD00287,18,Matte,Princess,Geometric,House,Cast,18,0
West,BR-Ahmedabad-02,PRD00069,18,Textured,Mixed,Contemporary,House,Filigree,4,3
West,BR-Ahmedabad-02,PRD00088,18,TwoTone,Princess,Minimalist,Essentials,KundanInspired,3,1
West,BR-Ahmedabad-02,PRD00289,14,Matte,Princess,Contemporary,Essentials,KundanInspired,15,3
West,BR-Ahmedabad-02,PRD00078,22,TwoTone,Princess,Contemporary,Essentials,Handcrafted,2,0
West,BR-Ahmedabad-02,PRD00171,14,HighPolish,Princess,Floral,House,KundanInspired,5,2
West,BR-Ahmedabad-02,PRD00021,14,Matte,Mixed,Contemporary,Signature,Cast,15,1
West,BR-Ahmedabad-02,PRD00297,18,HighPolish,Princess,Traditional,Signature,Cast,18,2
West,BR-Ahmedabad-02,PRD00016,14,Matte,Oval,Floral,House,Cast,3,1
West,BR-Ahmedabad-02,PRD00012,14,Textured,Oval,Minimalist,Essentials,Filigree,18,0
West,BR-Ahmedabad-02,PRD00009,14,Textured,Princess,Minimalist,Signature,Cast,10,0
West,BR-Ahmedabad-02,PRD00211,18,TwoTone,Mixed,Contemporary,House,Filigree,1,0
West,BR-Ahmedabad-02,PRD00232,14,Textured,Round,Geometric,Signature,KundanInspired,0,0
West,BR-Ahmedabad-02,PRD00178,22,Textured,Princess,Minimalist,House,KundanInspired,10,2
West,BR-Ahmedabad-02,PRD00177,14,HighPolish,Round,Geometric,House,KundanInspired,14,2
West,BR-Ahmedabad-02,PRD00245,18,HighPolish,Oval,Minimalist,Essentials,KundanInspired,15,3
West,BR-Ahmedabad-02,PRD00008,22,Matte,Princess,Traditional,Essentials,Handcrafted,4,3
West,BR-Ahmedabad-02,PRD00068,14,Textured,Round,Floral,House,KundanInspired,3,0
West,BR-Ahmedabad-02,PRD00083,14,Matte,Mixed,Floral,House,Cast,19,4
West,BR-Ahmedabad-02,PRD00294,22,Matte,Round,Contemporary,Signature,Handcrafted,7,0
West,BR-Ahmedabad-02,PRD00060,14,HighPolish,Mixed,Contemporary,Essentials,Handcrafted,3,2
West,BR-Ahmedabad-02,PRD00094,18,TwoTone,Mixed,Geometric,Signature,Handcrafted,14,0
West,BR-Ahmedabad-02,PRD00158,14,TwoTone,Princess,Contemporary,House,Handcrafted,14,2
West,BR-Ahmedabad-02,PRD00189,14,HighPolish,Oval,Geometric,Signature,Filigree,9,3
West,BR-Ahmedabad-02,PRD00243,18,Textured,Oval,Traditional,Essentials,Filigree,16,1
West,BR-Ahmedabad-02,PRD00013,14,HighPolish,Mixed,Traditional,Signature,Cast,10,0
South,BR-Bengaluru-01,PRD00096,18,Textured,Mixed,Traditional,Signature,KundanInspired,16,2
South,BR-Bengaluru-01,PRD00019,18,Matte,Oval,Floral,House,Filigree,12,4
South,BR-Bengaluru-01,PRD00135,22,Textured,Round,Floral,Essentials,KundanInspired,2,2
South,BR-Bengaluru-01,PRD00253,22,Textured,Princess,Contemporary,House,KundanInspired,6,3
South,BR-Bengaluru-01,PRD00093,22,TwoTone,Princess,Traditional,Signature,Filigree,9,2
South,BR-Bengaluru-01,PRD00216,18,Textured,Princess,Minimalist,House,Cast,7,3
South,BR-Bengaluru-01,PRD00115,14,HighPolish,Princess,Minimalist,Essentials,Handcrafted,10,4
South,BR-Bengaluru-01,PRD00062,14,TwoTone,Round,Floral,House,Filigree,6,0
South,BR-Bengaluru-01,PRD00165,22,Textured,Princess,Minimalist,House,Cast,16,2
South,BR-Bengaluru-01,PRD00033,18,HighPolish,Oval,Floral,House,Handcrafted,17,4
South,BR-Bengaluru-01,PRD00026,14,TwoTone,Oval,Contemporary,House,Cast,0,0
South,BR-Bengaluru-01,PRD00209,14,TwoTone,Mixed,Geometric,House,Cast,13,0
South,BR-Bengaluru-01,PRD00191,14,Matte,Round,Contemporary,Signature,Filigree,7,0
South,BR-Bengaluru-01,PRD00187,14,Matte,Round,Floral,Signature,KundanInspired,5,0
South,BR-Bengaluru-01,PRD00267,22,TwoTone,Mixed,Geometric,Signature,Handcrafted,1,1
South,BR-Bengaluru-01,PRD00155,14,Matte,Oval,Geometric,Signature,Filigree,19,0
South,BR-Bengaluru-01,PRD00257,14,Matte,Princess,Floral,Signature,Cast,10,1
South,BR-Bengaluru-01,PRD00143,18,Matte,Princess,Contemporary,House,Cast,2,2
South,BR-Bengaluru-01,PRD00068,18,Textured,Round,Traditional,Essentials,KundanInspired,7,4
South,BR-Bengaluru-01,PRD00236,22,Matte,Princess,Contemporary,House,KundanInspired,7,2
South,BR-Bengaluru-01,PRD00119,18,HighPolish,Round,Geometric,Essentials,Handcrafted,15,2
South,BR-Bengaluru-01,PRD00279,14,Textured,Mixed,Floral,House,Cast,3,1
South,BR-Bengaluru-01,PRD00251,14,Matte,Round,Traditional,Essentials,Filigree,14,2
South,BR-Bengaluru-01,PRD00029,22,Textured,Oval,Contemporary,Signature,Filigree,6,0
South,BR-Bengaluru-01,PRD00173,18,Matte,Round,Contemporary,Essentials,Filigree,7,2
South,BR-Bengaluru-01,PRD00261,18,Textured,Round,Floral,Essentials,Filigree,11,0
South,BR-Bengaluru-01,PRD00031,18,Matte,Oval,Minimalist,House,KundanInspired,2,1
South,BR-Bengaluru-01,PRD00057,18,Matte,Round,Traditional,House,Cast,15,1
South,BR-Bengaluru-01,PRD00010,14,HighPolish,Princess,Floral,House,Filigree,12,4
South,BR-Bengaluru-01,PRD00040,18,Matte,Round,Geometric,Essentials,Cast,8,2
